precision,common_loss_records,first_nonzero_step,first_delta,max_abs_step,max_abs_delta,final_step,final_delta,p0_model_hash,k2_model_hash
bf16,704,6,-0.00002288818359375,394,4.493478775024414,706,0.0274742444356283,ef786fb77c78c5de5c88c469e8b5d32a60f8d3c364e842905229af98cc1962f4,a864f5321bec772e5a52ecab2d013bd2115049f6f654fd6928fbb8fc69c98ce3
fp32,704,20,0.00000095367431640625,306,-2.884147882461548,706,-0.0163987775643667,aa74dbdbcd2d74ed1a6c4d748134d06f1c005d8464273799a628eab3883c01f6,dc0e7c157eec00e9f7b3436679cc4acf94472596f705f1eebf5a764bc4ea0cc4

