model_label,kind,checkpoint_path,checkpoint_path_rel,source_run,source_run_id,source_ledger,seed,git_commit,flash_vqg_commit,machine,dtype_policy,status,source_model_family,source_config_family,source_config,source_scope,source_batch_accum_profile,source_train_config_path,source_train_config_path_abs,source_train_config_sha256,source_ckpt_sha256,source_ckpt_epoch,source_trainable_params,source_dynamic_capacity_total
cb256-r4-s123,flash,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,123,8eb730be36bbb0876ed83a332d364c65acb36b28,811e1ce5f140e97d93ad6f1adae07b95b4219143,mclab-3090,float32,completed,flash,cb256-r4,cb256-r4-s123-d123,b64_ga4_fp32_official,b64_ga4,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb256-r4-s123-2026-05-20-13-04-52/gd-cb256-r4-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,441ac0b57c1d085b19c0fdd6ee4439b72384342309a80277914594a5502de5eb,d3dc1bbc0cdb8167724ce29ec83deeb980d6f957719441e259bde63ed8d22281,3,1183430,131072
cb64-r16-s123,flash,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/last.pt,gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep,gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep,docs/artifacts/gd-residual-v1/rank-seed-effect-summary.csv,123,8eb730be36bbb0876ed83a332d364c65acb36b28,811e1ce5f140e97d93ad6f1adae07b95b4219143,mclab-3090,float32,completed,flash,cb64-r16,cb64-r16-s123-d123,b64_ga4_fp32_official,b64_ga4,checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260520-flash-capacity-decomposition-gd-cb64-r16-s123-2026-05-20-18-12-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep/train_config.json,a04a7a0c1fdaccbc84058929608d3b4474008ed29cda80231e07a67dff0ca6f7,46c1a28c3fa4b8ebf62b0e69c53c879b60504d4f27d1e1b76ddbc6a1bd2e89e1,3,1160390,131072
