model_label,variant,slice_seq_len,slice_num_kv_pairs,accuracy,full_accuracy,delta_vs_full,relative_to_full,sanity_status,run_status
cb256-r4-s123,local_only,1024,256,0.0002578125,0.8941562500,-0.8938984375,0.0002883305,not_applicable,completed
cb256-r4-s123,local_only,2048,512,0.0002695313,0.6666914063,-0.6664218750,0.0004042819,not_applicable,completed
cb256-r4-s123,local_only,4096,512,0.0001757812,0.6200234375,-0.6198476563,0.0002835073,not_applicable,completed
cb256-r4-s123,local_only,4096,1024,0.0002246094,0.3806777344,-0.3804531250,0.0005900251,not_applicable,completed
cb256-r4-s123,local1,1024,256,0.8899453125,0.8941562500,-0.0042109375,0.9952906022,not_applicable,completed
cb256-r4-s123,local1,2048,512,0.6629726563,0.6666914063,-0.0037187500,0.9944220820,not_applicable,completed
cb256-r4-s123,local1,4096,512,0.6163007812,0.6200234375,-0.0037226563,0.9939959426,not_applicable,completed
cb256-r4-s123,local1,4096,1024,0.3789433594,0.3806777344,-0.0017343750,0.9954439810,not_applicable,completed
cb256-r4-s123,local4,1024,256,0.9040312500,0.8941562500,0.0098750000,1.0110439311,not_applicable,completed
cb256-r4-s123,local4,2048,512,0.6760898438,0.6666914063,0.0093984375,1.0140971331,not_applicable,completed
cb256-r4-s123,local4,4096,512,0.6282070312,0.6200234375,0.0081835937,1.0131988457,not_applicable,completed
cb256-r4-s123,local4,4096,1024,0.3845507812,0.3806777344,0.0038730468,1.0101740828,not_applicable,completed
cb64-r16-s123,local_only,1024,256,0.0002265625,0.9696250000,-0.9693984375,0.0002336599,not_applicable,completed
cb64-r16-s123,local_only,2048,512,0.0002421875,0.8226445313,-0.8224023438,0.0002944012,not_applicable,completed
cb64-r16-s123,local_only,4096,512,0.0002382812,0.7807187500,-0.7804804688,0.0003052075,not_applicable,completed
cb64-r16-s123,local_only,4096,1024,0.0002265625,0.4689238281,-0.4686972656,0.0004831542,not_applicable,completed
cb64-r16-s123,local1,1024,256,0.9687109375,0.9696250000,-0.0009140625,0.9990573031,not_applicable,completed
cb64-r16-s123,local1,2048,512,0.8202656250,0.8226445313,-0.0023789063,0.9971082209,not_applicable,completed
cb64-r16-s123,local1,4096,512,0.7777929688,0.7807187500,-0.0029257812,0.9962524517,not_applicable,completed
cb64-r16-s123,local1,4096,1024,0.4669414063,0.4689238281,-0.0019824218,0.9957724012,not_applicable,completed
cb64-r16-s123,local4,1024,256,0.9722187500,0.9696250000,0.0025937500,1.0026750032,not_applicable,completed
cb64-r16-s123,local4,2048,512,0.8277031250,0.8226445313,0.0050585937,1.0061491853,not_applicable,completed
cb64-r16-s123,local4,4096,512,0.7857734375,0.7807187500,0.0050546875,1.0064744026,not_applicable,completed
cb64-r16-s123,local4,4096,1024,0.4724843750,0.4689238281,0.0035605469,1.0075930176,not_applicable,completed
