model_label,variant,slice_seq_len,slice_num_kv_pairs,distance_bucket,n,accuracy,full_accuracy,delta_vs_full,relative_to_full,ci95_low,ci95_high
cb256-r4-s123,local4,1024,256,129-256,2656,0.9299698795,0.9254518072,0.0045180723,1.0048820179,0.9202643572,0.9396754019
cb256-r4-s123,local4,1024,256,257-512,67913,0.9119461664,0.9007995524,0.0111466140,1.0123741336,0.9098148970,0.9140774358
cb256-r4-s123,local4,1024,256,513-1024,57429,0.8934858695,0.8848491180,0.0086367515,1.0097607053,0.8909627495,0.8960089895
cb256-r4-s123,local4,2048,512,129-256,12,0.7500000000,0.7500000000,0.0000000000,1.0000000000,0.5050000000,0.9950000000
cb256-r4-s123,local4,2048,512,257-512,5327,0.7039609536,0.6930730242,0.0108879294,1.0157096424,0.6917017148,0.7162201925
cb256-r4-s123,local4,2048,512,513-1024,135480,0.6898582817,0.6795246531,0.0103336286,1.0152071430,0.6873952017,0.6923213616
cb256-r4-s123,local4,2048,512,1025-2048,115181,0.6585982063,0.6503676822,0.0082305241,1.0126551862,0.6558597311,0.6613366816
cb256-r4-s123,local4,4096,512,33-64,1,0.0000000000,1.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000
cb256-r4-s123,local4,4096,512,65-128,47,0.5106382979,0.8085106383,-0.2978723404,0.6315789474,0.3677229656,0.6535536301
cb256-r4-s123,local4,4096,512,129-256,1188,0.7028619529,0.6986531987,0.0042087542,1.0060240964,0.6768746025,0.7288493032
cb256-r4-s123,local4,4096,512,257-512,11677,0.7102851760,0.7010362251,0.0092489509,1.0131932567,0.7020572161,0.7185131359
cb256-r4-s123,local4,4096,512,513-1024,80946,0.7014182294,0.6895461172,0.0118721122,1.0172172853,0.6982655592,0.7045708997
cb256-r4-s123,local4,4096,512,1025-2048,100585,0.6349952776,0.6278868619,0.0071084157,1.0113211729,0.6320200243,0.6379705310
cb256-r4-s123,local4,4096,512,2049-4096,61556,0.5039313796,0.4987166158,0.0052147638,1.0104563667,0.4999815582,0.5078812009
cb256-r4-s123,local4,4096,1024,257-512,9,0.3333333333,0.3333333333,0.0000000000,1.0000000000,0.0253490464,0.6413176203
cb256-r4-s123,local4,4096,1024,513-1024,10403,0.3960396040,0.3924829376,0.0035566664,1.0090619644,0.3866412822,0.4054379258
cb256-r4-s123,local4,4096,1024,1025-2048,270920,0.3952975048,0.3909272110,0.0043702938,1.0111793031,0.3934564426,0.3971385670
cb256-r4-s123,local4,4096,1024,2049-4096,230668,0.3714125930,0.3681091439,0.0033034491,1.0089741023,0.3694407445,0.3733844415
cb64-r16-s123,local_only,1024,256,65-128,2,0.0000000000,0.5000000000,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
