variant,standard_accuracy,standard_relative_delta,accuracy_2048x512,relative_delta_2048x512,accuracy_4096x1024,relative_delta_4096x1024,accuracy_8190x512,relative_delta_8190x512,accuracy_8190x2047,relative_delta_8190x2047,extrapolation_macro,extrapolation_macro_relative_delta,passed
u64-a1-s1,0.962171875,0,0.83131640625,0,0.529271484375,0,0.69132421875,0,0.21739521199464798,0,0.567326830342412,0,true
u32-a1-s1,0.8819375,-0.08338881761639516,0.598859375,-0.2796252179102234,0.25193359375,-0.5239993062397827,0.48846484375,-0.2934359443775816,0.07070932941138744,-0.6747429312604721,0.3524917854778469,-0.3786795077801992,false
u16-a1-s1,0.5973125,-0.37920394939833385,0.27302734375,-0.6715722898076752,0.0814765625,-0.8460590360423194,0.213921875,-0.6905621570920843,0.02163067909143865,-0.9005006646973845,0.14751411508535966,-0.7399838907736357,false
