variant,residual_value_dim,wall_clock_sec,optimizer_step_wall_sec_p50,peak_allocated_mib,peak_reserved_mib,fallbacks
u64-a1-s1,64,210.50082285422832,0.2209953125566244,1456.642578125,2192.0,0
u32-a1-s1,32,217.86706980969757,0.2340787574648857,1456.705078125,2194.0,0
u16-a1-s1,16,216.04475849401206,0.23098888900130987,1456.705078125,2070.0,0
